nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Merluza en filete 1 kg aprox,17.5,17.5,productos frescos,pescaderia,Marisco y pescado,€/kg,
"Parches térmicos terapéuticos para dolor de cuello, hombros y muñecas Thermacare 6 ud.",17.49,2.91,parafarmacia,botiquin,botiquin,€/ud,
Crema de whisky Baileys salted caramel 70 cl.,17.49,24.99,bebidas,licores y cremas,Bodega,€/l,
Maquinilla ProGlide Power Gillette 1 ud.,17.49,17.49,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Rotuladores 20 ud Punta Fina STABILO Point 88 Zebrui,17.49,17.49,limpieza y hogar,papeleria,papeleria,€/ud,
Leche infantil de crecimiento desde 12 meses en polvo Hero Baby Nutrasense Premium 3 lata 800 g.,17.49,21.86,bebe,alimentacion infantil,Bebé,€/kg,
Vodka Absolut Rasperri sabor fresa 70 cl.,17.49,24.99,bebidas,alcoholes,Bodega,€/l,
Leche infantil de continuación desde 6 meses en polvo Hero Baby Nutrasense Premium 2 lata 800 g.,17.49,21.86,bebe,alimentacion infantil,Bebé,€/kg,
Leche infantil de continuación 2 desde 6 meses en polvo Nutribén Continuación Pro-a sin aceite de palma lata 800 g.,17.49,21.86,parafarmacia,bebe,Bebé,€/kg,
"Cacao soluble instantáneo Cola Cao Turbo 2,5 kg.",17.45,6.98,la despensa,desayuno,Cereales y galletas,€/kg,
Spray protector solar acelerador del bronceado SPF 30 protección alta Tan & Protect Piz Buin 150 ml.,17.45,11.631,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Medallón de solomillo de vacuno 500 g aprox,17.45,34.9,productos frescos,carniceria,Carne,€/kg,
Ginebra Gordon's 1 l.,17.39,17.39,bebidas,alcoholes,Bodega,€/l,
Tequila Jose Cuervo especial reposado 70 cl.,17.39,24.84,bebidas,alcoholes,Bodega,€/l,
Brandy de Jerez Magno solera reserva 1 l.,17.39,17.39,bebidas,alcoholes,Bodega,€/l,
Leche Biológrica HiPP 2  600 gr,17.39,28.98,bebe,alimentacion infantil,Bebé,€/kg,
Spray protector solar FP50+ Protege & Hidrata Nivea Sun 270 ml.,17.35,6.431,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Aguardiente Antioqueño 1 l.,17.29,17.29,bebidas,licores y cremas,Bodega,€/l,
"Cecina de vaca extra  IGP ""Cecina de León""  Ezequiel IGP ""Cecina de León"" taco de 300 g aprox",17.25,34.5,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Loción hidratante corporal Suavinex 750 ml.,17.19,2.291,parafarmacia,bebe,Bebé,€/100ml,
Gel dermo intenso lipoescultor nocturno Nocturslim E'lifexir 200 ml.,17.19,8.591,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Leche infantil de continuación desde 6 meses en polvo Nestlé Nativa 2 pack de 2 unidades de 600 g.,17.19,14.33,bebe,alimentacion infantil,Bebé,€/kg,
Spray protector solar FP30 Protege & Broncea Nivea Sun 270 ml.,17.15,6.351,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Aceite solar spray activadora del bronceado FP 30 Protege & Broncea Nivea Sun 200 ml.,17.15,8.571,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Seagram'S Ginebra,17.15,24.5,bebidas,alcoholes,Bodega,€/l,
Bruma solar Protege & Resfresca FP 30 Protección alta Nivea 200 ml.,17.15,8.571,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Lavavajillas a máquina platinum plus pastillas todo en uno Fairy 30 ud.,17.15,0.57,limpieza y hogar,productos para cocina,Limpieza y hogar,€/lavado,
Café en grano mezcla Marcilla Gran Aroma 1 kg.,17.15,17.15,la despensa,desayuno,Cereales y galletas,€/kg,
"Complemento alimenticio con jalea real, vitaminas y hierro en ampollas Revital Vitaminado Forte 1500 20 ud.",17.15,8.571,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100ml,
Ginseng complemento alimenticio Jalea Real + Vitaminas Revital 20 ampollas.,17.15,8.571,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100ml,
"Pez Espada 1,2 kg aprox",17.1,14.25,productos frescos,pescaderia,Marisco y pescado,€/kg,
Spray protector solar acelerador del bronceado SPF 30 protección alta Tan & Protect Piz Buin 150 ml.,17.09,11.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Limpiador facial granos persistentes Spot Controlling Neutrogena 200 ml.,17.09,8.541,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,€/100ml,
Licor limoncello Villa Massa 70 cl.,17.09,24.41,bebidas,alcoholes,Bodega,€/l,
Cabezales de recambio con CleanMaximiser Precision Clean Oral-B 4 ud.,17.09,4.27,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/ud,
SPRAY INV.FP30 NIVEA 200,17.09,8.541,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Preparado lácteo infantil de crecimiento desde 2 años en polvo Almirón Advance 4 sin aceite de palma lata 800 g.,17.09,21.36,bebe,alimentacion infantil,Bebé,€/kg,
Champú quinina y edelweiss Klorane 400 ml.,17.09,4.271,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Preservativos sensitivo suave para mayor sensibilidad 24 ud.,17.09,0.71,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,€/ud,
Detergente líquido coladas mixtas limpia y protege adiós al separar Micolor 52 lavados.,17.09,0.33,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Detergente líquido limpieza profunda Skip 45 lavados.,17.09,0.38,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Pienso de pollo para perro adulto Yorkshire Terrier Ultima 3 Kg.,16.95,5.65,mascotas,perros,Mascotas,€/kg,
Vino tinto crianza tempranillo Portia Selección de Barricas D.O. Ribera de Duero 75 cl.,16.95,16.95,bebidas,vinos,Bodega,€/ud,
Pienso de pollo para perro Senior Mini Ultima 3 Kg.,16.95,5.65,mascotas,perros,Mascotas,€/kg,
Paletilla de cordero lechal El Mercado 500 g aprox,16.95,33.9,productos frescos,carniceria,Carne,€/kg,
Pienso de salmón para perro Medium Ultima 3 Kg.,16.9,5.63,mascotas,perros,Mascotas,€/kg,
Set Weleda Caléndula: crema pañal 75 ml y champú - gel de ducha 200 ml.,16.9,16.9,parafarmacia,bebe,Bebé,€/ud,
Crema protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 200 ml.,16.89,8.441,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Colutorio encías Vitis 1000 ml.,16.89,1.691,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100ml,
Leche infantil de crecimiento desde 1 año a base de proteína de soja Velactín sin lactosa 800 g.,16.89,21.11,bebe,alimentacion infantil,Bebé,€/kg,
"Ginebra Beefeater 0,0 sin alcohol 70 cl.",16.89,24.13,bebidas,alcoholes,Bodega,€/l,
Espárrago blanco extra grueso 6/18 De Nuestra Tierra 350 g.,16.89,48.26,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
"Tanqueray 0,0",16.89,24.13,bebidas,alcoholes,Bodega,€/l,
Fluido facial solar antimanchas Luminous 630 Nivea Sun 40 ml.,16.89,42.221,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Preparado lácteo de crecimiento 3 desde 12 meses Nutribén Crecimiento Pro + sin aceite de palma lata 800 g.,16.85,21.06,parafarmacia,bebe,Bebé,€/kg,
Detergente líquido jabón de Marsella Omino Bianco 67 lavados,16.85,0.25,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Cecina Palcarsa sin gluten y sin lactosa taco de 500 g aprox,16.85,33.7,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Concentrado de proteína de suero de leche sabor chocolate Prozis 400 g.,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Desmaquillante suavidad ojos Avéne 125 ml.,16.79,13.431,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,€/100ml,
Brandy de Jerez Alma de Magno solera gran reserva 70 cl.,16.79,23.99,bebidas,alcoholes,Bodega,€/l,
Concentrado de proteína de suero de leche sabor vainilla Prozis 400 g.,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Capuchino proteico con cafeína extra Prozis 400 g,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Ron Flor de Caña añejo clásico 5 años 70 cl.,16.79,23.99,bebidas,alcoholes,Bodega,€/l,
Vermut Cinzano 1757 rojo 75 cl.,16.79,16.79,bebidas,alcoholes,Bodega,€/l,
Crema protector solar FP50 Protege & Broncea Nivea Sun 200 ml.,16.79,8.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Crema protector solar FP30 Protege & Hidrata Nivea Sun 400 ml.,16.79,4.201,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Licor de whisky Thunder Bitch 70 cl.,16.75,23.93,bebidas,alcoholes,Bodega,€/l,
Leche solar proctectora pieles intolerantes al sol FP 50+ Delial 400 ml.,16.75,4.191,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Champú mango Klorane 400 ml.,16.69,4.171,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Ginebra Larios 12 premium 70 cl.,16.69,23.84,bebidas,alcoholes,Bodega,€/l,
Loción Mustela 750 ml,16.69,2.231,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100ml,
Crema de noche antiedad intensiva Cellular Expert Filler Nivea 50 ml.,16.69,33.381,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Spray protector solar rostro y cuerpo SPF30 Hydra 24h Protect Garniel Delial 270 ml.,16.65,6.171,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Champú granada Klorane 400 ml.,16.59,4.151,parafarmacia,cabello,Cuidado del cabello,€/100ml,
Spray solar para niños sensitive advanced FPS 50+ Delial 200 ml.,16.59,8.291,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Gamba salvaje pelada cruda 88/123 piezas Grand Krust 600 g.,16.59,27.65,congelados,mariscos congelados,Congelados,€/kg,
Crema fortificante Age Perfect Golden Age L'Oréal 50 ml.,16.55,33.101,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Comida húmeda tartelette surtido para gatos adulto Purina Gourmet Gold 24x85 g.,16.55,8.11,mascotas,gatos,Mascotas,€/kg,
"Gel dermo remodelador estiliza, define y tonifica Fitness E'lifexir 200 ml.",16.49,8.241,parafarmacia,cuidado corporal,Cuidado facial y corporal,€/100ml,
Proteína vegana de chocolate Weider sin gluten 300 g.,16.49,54.97,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
