Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio,categoria_principal,Marca
Filete de bacalao Selección de Dia bandeja 350 g aprox.,"Pescados, mariscos y ahumados",Pescados,KILO,14.99,5.25,Marisco y pescado,Selección de Dia
Queso fundido con palitos de pan La vaca que ríe caja 140 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,17.07,2.39,Charcutería y quesos,otra
Fiambre de lomo de pavo Serrano bandeja 240 g,Carnicería,Pavo,KILO,10.38,2.49,Carne,otra
Pechuga de pavo adobada Serrano bandeja 240 g,Carnicería,Pavo,KILO,10.79,2.59,Carne,otra
Medio conejo troceado Selección de Dia bandeja 650 g aprox.,Carnicería,Conejo,KILO,8.99,5.84,Carne,Selección de Dia
Queso fundido sándwich Dia Láctea bolsa 300 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,3.97,1.19,Charcutería y quesos,Dia Láctea
Paté de hígado de cerdo Mina lata 3 x 80 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,9.13,2.19,Charcutería y quesos,otra
Mini queso tierno snack Babybel malla 120 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,22.83,2.74,Charcutería y quesos,otra
Paté de campaña Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09,Charcutería y quesos,Nuestra Alacena
Paté de cerdo ibérico Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09,Charcutería y quesos,Nuestra Alacena
Pizza 4 quesos Al Punto Dia bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,6.9,2.69,Pizzas y platos preparados,Dia
Pizza carbonara Casa Tarradellas bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,7.98,3.19,Pizzas y platos preparados,otra
Queso de untar con finas hierbas Philadelphia tarrina 150 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,15.93,2.39,Charcutería y quesos,otra
Queso gouda Selección Mundial de Dia bandeja 400 g,Charcutería y quesos,Quesos internacionales,KILO,7.33,2.93,Charcutería y quesos,Selección Mundial
Queso de untar light Philadelphia tarrina 250 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,10.72,2.68,Charcutería y quesos,otra
Queso de untar original Philadelphia tarrina 250 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,10.72,2.68,Charcutería y quesos,otra
Pizza jamón y queso Casa Tarradellas bandeja 2 x 225 g,Pizzas y platos preparados,Pizzas,KILO,7.09,3.19,Pizzas y platos preparados,otra
Paté a las finas hierbas Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09,Charcutería y quesos,Nuestra Alacena
Paté a la pimienta Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09,Charcutería y quesos,Nuestra Alacena
Pizza 4 quesos Casa Tarradellas bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,8.18,3.19,Pizzas y platos preparados,otra
Chistorra de navarra Selección de Dia bolsa 220 g,Carnicería,Cerdo,KILO,7.68,1.69,Carne,Selección de Dia
Pizza atún y bacon Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.73,2.69,Pizzas y platos preparados,Dia
Pizza jamón y queso Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.03,2.41,Pizzas y platos preparados,Dia
Panceta adobada de cerdo Selección de Dia bandeja 350 g aprox.,Carnicería,Cerdo,KILO,8.99,3.15,Carne,Selección de Dia
Secreto adobado de cerdo Selección de Dia bandeja 300 g aprox. ,Carnicería,Cerdo,KILO,9.69,2.91,Carne,Selección de Dia
