Nombre,Precio,Precio_unidad_outlayers,categoria,categoria_producto,subcategoria,Marca,Unidad_medida,Supermercado,Precio_unit
"Caballa 1,3 kg aprox",9.03,6.95,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,6.95
Pinna Fidelis Roble Tinto Joven 2021,8.99,8.99,bebidas,Bodega,vinos,PINNA FIDELIS,UNIDAD,Carrefour,8.99
Bayetas Microfibras Superabsorbentes SPONTEX 10 ud,8.99,0.9,limpieza y hogar,Limpieza y hogar,utensilios de limpieza,,UNIDAD,Carrefour,0.9
Colutorio ortodoncia lima fresca Ortolacer 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
"Quitamanchas gel acción total turbo Oxy Blanco Puro Neutrex 2,62 l.",8.99,3.43,limpieza y hogar,Cuidado facial y corporal,cuidado de la ropa,,LITRO,Carrefour,3.43
Loción corporal reafirmante +autobronceadora Q10 Nivea 400 ml.,8.99,2.251,perfumeria e higiene,Bodega,cuidado y proteccion corporal,,100 ML,Carrefour,2.251
Dentífrico blanqueante sabor menta Lacer 150 ml.,8.99,5.991,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,5.991
SPRAY FRUIT RHYTHM ADIDAS 75ML,8.99,11.991,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,11.991
Anchoas en aceite de oliva Consorcio 87 g.,8.99,103.33,la despensa,"Aceite, especias y salsas",conservas sopas y precocinados,CONSORCIO,KILO,Carrefour,103.33
Colutorio diario fórmula de acción blanqueadora con flúor sin alcohol sabor citrus Lacer Blanc 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Caella 1 Kg aprox,8.99,8.99,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,8.99
Pulpo cocido troceado Carrefour El Mercado 250 g,8.99,35.96,productos frescos,Marisco y pescado,pescaderia,CARREFOUR,KILO,Carrefour,35.96
Colutorio sensibilidad dental Sensilacer 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Colutorio de uso diario que previene el sangrado gingival causado por encías delicadas y gingivitis Gingilacer 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Champú para barba 2 en 1 original Bulldog 200 ml.,8.99,4.491,perfumeria e higiene,Cuidado facial y corporal,depilacion y afeitado,,100 ML,Carrefour,4.491
Tratamiento banana ultra nutritiva Garniel Fructis 200 ml,8.99,4.491,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,4.491
Colutorio de uso diario sin alcohol previene caries dental Lacer Fresh 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Tratamiento capilar piña anti-rotura Garnier Fructis 200 ml,8.99,4.491,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,4.491
"Pilas Alcalinas AA Duracell Plus, paquete de 10",8.99,8.99,limpieza y hogar,Limpieza y hogar,bazar,,UNIDAD,Carrefour,8.99
"Pilas Alcalinas AAA Duracell Plus, paquete de 10",8.99,8.99,limpieza y hogar,Limpieza y hogar,bazar,,UNIDAD,Carrefour,8.99
Mini Croissants bañados Carrefour 430 g,8.99,20.91,productos frescos,Panadería y pastelería,panaderia tradicional,CARREFOUR,KILO,Carrefour,20.91
Tabletas limpiadoras para ortodoncias y férulas Corega 36 ud.,8.99,0.25,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,0.25
"Tabla surtido de foie gras: pato, oca, pato con trufa y pato con boletus Martiko pack de 4 unidades de 20 g",8.99,112.37,productos frescos,Charcutería y quesos,charcuteria,MARTIKO,KILO,Carrefour,112.37
Spray bruma post-solar reparadora efecto hielo Ecran Aftersun 250 ml.,8.99,3.601,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,3.601
Chupete con tetina fisiológica SX Pro de silicona 6-18 meses Suavinex 2 ud.,8.99,4.49,bebe,Bebé,puericultura,,UNIDAD,Carrefour,4.49
Colutorio antiséptico Oraldine 400 ml.,8.99,2.251,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,2.251
Crema renovadora de pies Cerave 88 ml.,8.99,10.221,parafarmacia,Cuidado facial y corporal,cuidado de manos y pies,,100 ML,Carrefour,10.221
Cinta americana universal extra power tesa 25mx50mm,8.99,8.99,limpieza y hogar,"Aceite, especias y salsas",bazar,,UNIDAD,Carrefour,8.99
Arena para Gato Sanicat Zen6 L,8.99,1.5,mascotas,Mascotas,gatos,,LITRO,Carrefour,1.5
Colonia para bebe sin alcohol perfuma y refresca Mustela 200 ml.,8.99,4.491,bebe,Cuidado facial y corporal,perfumeria e higiene,,100 ML,Carrefour,4.491
Pienso de pollo para perro mediano-grande Dream Excellence 3 kg,8.99,3.0,mascotas,Mascotas,perros,,KILO,Carrefour,3.0
Limpiador alfombras y Tapicerias Espuma Vanish 600 ml.,8.99,14.98,limpieza y hogar,Limpieza y hogar,cuidado de la ropa,,LITRO,Carrefour,14.98
Gambón extra grande crudo Carrefour 700 g.,8.99,12.84,congelados,Congelados,mariscos congelados,CARREFOUR,KILO,Carrefour,12.84
Raya 500 g aprox,8.97,17.95,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,17.95
Crema hidratante anti-edad Vita Lift 5 L'Oréal-Men Expert 50 ml.,8.95,17.901,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,17.901
Mascarilla intensiva rescate capilar Pantene Pro-V Miracles 300 ml.,8.95,2.981,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.981
Loción corporal pieles átopicas Instituto Español 750 ml.,8.95,1.191,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,1.191
Mascarilla capilar ultra nutritiva Pro-V Miracles Pantene 160 ml.,8.95,2.981,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.981
Crema fortalecedora ceramide protect para piel muy seca Mixa Sensitive Skin Expert 400 ml.,8.95,2.241,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,2.241
