ID_cat,subcategoria,ID_subcat,categoria_producto,ID_pro,Nombre,Precio,Precio_unidad,Unidad_medida,Fecha_actual,Marca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4240,"Aceite de oliva 0,4º Hacendado",8.00,8.00,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4717,Aceite de oliva virgen extra Hacendado,28.80,9.60,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4740,Aceite de oliva virgen extra Hacendado,9.65,9.65,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4706,Aceite de oliva virgen extra Hacendado Gran Selección,8.10,10.80,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4640,Aceite de oliva 1º Hacendado,8.00,8.00,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4711,Aceite de oliva virgen Hacendado,26.30,8.77,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4749,Aceite de oliva virgen Hacendado,8.95,8.95,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4204,Aceite de oliva suave Hacendado,23.90,7.97,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4609,Aceite de oliva intenso Hacendado,23.90,7.97,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4718,Aceite de oliva virgen extra Hacendado,3.30,16.50,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",420,Aceite de oliva,4850,Aceite de oliva virgen extra Picual Casa Juncal,7.85,15.70,l,2024-06-09,Otras marcas
112,"Aceite, vinagre y sal",421,"Aceite de girasol, semillas y maíz",4041,"Aceite de girasol refinado 0,2º Hacendado",6.75,1.35,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",421,"Aceite de girasol, semillas y maíz",4040,"Aceite de girasol refinado 0,2º Hacendado",1.45,1.45,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",421,"Aceite de girasol, semillas y maíz",4193,Aceite de coco virgen Hacendado,4.40,9.78,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4940,Vinagre de vino blanco Hacendado,0.70,0.70,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4957,Vinagre de manzana Hacendado,0.85,0.85,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4903,Limón exprimido Hacendado,1.00,3.57,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4908,Crema de vinagre balsámico de Módena Hacendado,1.75,7.00,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,13609,Vinagre de Jerez reserva Hacendado,2.00,8.00,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4905,Reducción de vinagre Pedro Ximénez Hacendado,2.25,7.50,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,26496,Vinagre balsámico de Módena Hacendado,2.45,4.90,l,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19731,Sal fina Hacendado,0.35,0.35,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,16864,Sal fina de mesa Hacendado,0.75,2.50,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19732,Sal yodada fina Hacendado,0.35,0.35,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19733,Sal gruesa Hacendado,0.35,0.35,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,29007,Bicarbonato sódico Hacendado,1.50,1.50,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,29006,Bicarbonato sódico Hacendado,1.10,3.67,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19740,Sal marina en escamas Polasal,2.00,16.00,kg,2024-06-09,Otras marcas
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19734,Sal gruesa para hornear Hacendado,1.10,0.55,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,34130,Sal de ajo Hacendado,1.80,13.85,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,29016,Sal de frutas sabor limón Hacendado,2.10,8.40,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19713,Sal 60% menos de sodio Hacendado,2.30,9.20,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19726,Preparado para salmón ahumado Hacendado,3.30,4.40,kg,2024-06-09,Marca blanca
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19701,Sal rosa del Himalaya Hacendado,1.90,7.60,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,5598,Orégano Hacendado,0.95,38.00,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,5599,Perejil Hacendado,0.90,50.00,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,47994,Hoja de laurel Hacendado,0.80,66.67,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,34131,Hierbas provenzales Hacendado,1.20,48.00,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,34128,Albahaca Hacendado,1.25,62.50,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,34175,Romero Hacendado,1.35,33.75,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,5547,Tomillo Hacendado,1.05,43.75,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,52739,Eneldo Hacendado,1.85,102.78,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,34721,Cilantro Hacendado,1.85,154.17,kg,2024-06-09,Marca blanca
115,Especias,425,Hierbas,60873,Ajo y Perejil Hacendado,1.35,18.24,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,34182,Colorante alimentario Hacendado,0.95,11.18,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,34184,Pimentón dulce Hacendado,1.00,17.86,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,34186,Pimentón dulce Hacendado,1.40,18.67,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,34102,Pimentón dulce de la Vera Hacendado,1.75,23.33,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,34116,Azafrán molido Hacendado,1.80,4500.00,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,8370,Azafrán hebra Hacendado,1.75,4375.00,kg,2024-06-09,Marca blanca
115,Especias,840,Colorante y pimentón,34183,Pimentón picante Hacendado,1.35,22.50,kg,2024-06-09,Marca blanca
115,Especias,841,Pimienta,34171,Pimienta negra molida Hacendado,1.15,16.43,kg,2024-06-09,Marca blanca
115,Especias,841,Pimienta,67693,Molinillo pimienta negra Hacendado,1.65,25.38,kg,2024-06-09,Marca blanca
115,Especias,841,Pimienta,34172,Pimienta negra en grano Hacendado,1.50,21.43,kg,2024-06-09,Marca blanca
115,Especias,841,Pimienta,67694,Molinillo mix pimientas Hacendado,1.85,37.00,kg,2024-06-09,Marca blanca
115,Especias,841,Pimienta,34170,Pimienta blanca molida Hacendado,2.15,30.71,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,86656,Ajo granulado Hacendado,1.10,9.57,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34208,Cebolla frita crujiente Hacendado,1.15,7.67,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34177,Canela molida Hacendado,1.00,19.23,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,52880,Canela en rama Hacendado,1.45,76.32,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34120,Comino molido Hacendado,1.20,20.69,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34121,Comino en grano Hacendado,1.95,34.82,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34125,Curry Hacendado,1.15,20.18,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34173,Nuez moscada molida Hacendado,1.65,28.45,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34138,Cebolla en polvo Hacendado,0.96,16.00,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34178,Cayena guindillas Hacendado,1.30,48.15,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,37417,Cayena molida Hacendado,1.59,28.91,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34163,Cúrcuma Hacendado,1.30,21.67,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34149,Jengibre molido Hacendado,1.65,33.67,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34130,Sal de ajo Hacendado,1.80,13.85,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34113,Ñoras Hacendado,1.40,56.00,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,34122,Clavo en grano Hacendado,1.75,41.67,kg,2024-06-09,Marca blanca
115,Especias,431,Otras especias,60869,Piñones Hacendado,2.84,40.57,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,23353,Sazonador para fajitas Hacendado sabor tex-mex,0.85,50.00,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,11971,Sazonador ajo y limón Hacendado para carne y pescado,1.05,35.00,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,11972,Sazonador hierbas provenzales Hacendado para pollo y costillas,1.00,41.67,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,86659,Sazonador sabor barbacoa Hacendado para carne,1.35,23.68,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,34702,Sazonador para paella con azafrán Hacendado,1.45,72.50,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,17147,Sazonador para burritos Hacendado,1.30,32.50,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,86808,Sazonador pollo y carne Hacendado,1.50,19.74,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,60640,Sazonador pasta Hacendado,1.60,35.56,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,34114,Mezcla de especias para gazpacho manchego Hacendado,2.50,250.00,kg,2024-06-09,Marca blanca
115,Especias,430,Sazonadores,52635,"Sazonador sabor queso y bacon Hacendado para patatas, snacks, carnes y salsas",0.85,94.44,kg,2024-06-09,Marca blanca
116,"Mayonesa, ketchup y mostaza",432,Mayonesa,13406,Mayonesa Hacendado,1.20,2.40,l,2024-06-09,Marca blanca
