Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio
L101,Filete de bacalao Selección de Dia bandeja 350 g aprox.,"Pescados, mariscos y ahumados",Pescados,KILO,14.99,5.25
L101,Queso fundido con palitos de pan La vaca que ríe caja 140 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,17.07,2.39
L101,Fiambre de lomo de pavo Serrano bandeja 240 g,Carnicería,Pavo,KILO,10.38,2.49
L101,Pechuga de pavo adobada Serrano bandeja 240 g,Carnicería,Pavo,KILO,10.79,2.59
L101,Medio conejo troceado Selección de Dia bandeja 650 g aprox.,Carnicería,Conejo,KILO,8.99,5.84
L101,Queso fundido sándwich Dia Láctea bolsa 300 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,3.97,1.19
L101,Paté de hígado de cerdo Mina lata 3 x 80 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,9.13,2.19
L101,Mini queso tierno snack Babybel malla 120 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,22.83,2.74
L101,Paté de campaña Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09
L101,Paté de cerdo ibérico Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09
L101,Pizza 4 quesos Al Punto Dia bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,6.9,2.69
L101,Pizza carbonara Casa Tarradellas bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,7.98,3.19
L101,Queso de untar con finas hierbas Philadelphia tarrina 150 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,15.93,2.39
L101,Queso gouda Selección Mundial de Dia bandeja 400 g,Charcutería y quesos,Quesos internacionales,KILO,7.33,2.93
L101,Queso de untar light Philadelphia tarrina 250 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,10.72,2.68
L101,Queso de untar original Philadelphia tarrina 250 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,10.72,2.68
L101,Pizza jamón y queso Casa Tarradellas bandeja 2 x 225 g,Pizzas y platos preparados,Pizzas,KILO,7.09,3.19
L101,Paté a las finas hierbas Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09
L101,Paté a la pimienta Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09
L101,Pizza 4 quesos Casa Tarradellas bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,8.18,3.19
L101,Chistorra de navarra Selección de Dia bolsa 220 g,Carnicería,Cerdo,KILO,7.68,1.69
L101,Pizza atún y bacon Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.73,2.69
L101,Pizza jamón y queso Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.03,2.41
L101,Panceta adobada de cerdo Selección de Dia bandeja 350 g aprox.,Carnicería,Cerdo,KILO,8.99,3.15
L101,Secreto adobado de cerdo Selección de Dia bandeja 300 g aprox. ,Carnicería,Cerdo,KILO,9.69,2.91
L101,Filete de vacuno marinado empanado Selección de Dia bandeja 500 g aprox.,Carnicería,Vacuno,KILO,14.99,7.5
L101,Buñuelos de bacalao Freskibo bandeja 225 g,"Pescados, mariscos y ahumados",Pescados,KILO,13.29,2.99
L101,Mousse de queso con nueces President Bon délice tarrina 125 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,15.92,1.99
L101,Pizza smoky grilled pork Al Punto Dia bandeja 480 g,Pizzas y platos preparados,Pizzas,KILO,6.23,2.99
L101,Sepia Selección de Dia bandeja 320 g aprox.,"Pescados, mariscos y ahumados",Pescados,KILO,15.6,4.99
L102,Pimiento rojo unidad 390 g aprox.,Verduras,"Tomates, pimientos y pepinos",KILO,2.99,1.17
L102,Albóndigas Al Punto Dia lata 415 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.05,1.68
L102,Palitos de surimi refrigeradas MSC Mari Marinera de Dia bolsa 300 g,"Pescados, mariscos y ahumados",Gulas y surimi,KILO,6.3,1.89
L102,Fabada asturiana Litoral lata 420 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.95,2.5
L102,Cebolla morada malla 500 g,Verduras,"Ajos, cebollas y puerros",KILO,2.98,1.49
L102,Patatas granel 1 Kg aprox.,Verduras,Patatas y zanahorias,KILO,1.99,1.99
L102,Fabada asturiana Litoral lata 850 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.4,4.59
L102,Repollo liso unidad aprox. 2 Kg aprox.,Verduras,"Judías, brócolis y coliflores",KILO,1.39,2.78
L102,Sopa juliana deshidratada Trevijano bandeja 100 g,Pizzas y platos preparados,Precocinados envasados,KILO,23,2.3
L102,Cocido madrileño Al Punto Dia lata 425 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.16,1.77
L102,Fabada asturiana Al Punto Dia lata 435 g,Pizzas y platos preparados,Precocinados envasados,KILO,3.45,1.5
L102,Callos a la madrileña Litoral lata 380 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.87,4.89
L102,Ensaladilla rusa deshidratada Trevijano bandeja 110 g,Pizzas y platos preparados,Precocinados envasados,KILO,19.64,2.16
L102,Tomate pera granel 900 g aprox.,Verduras,"Tomates, pimientos y pepinos",KILO,1.99,1.79
L102,Cebolla dulce granel 1 Kg aprox.,Verduras,"Ajos, cebollas y puerros",KILO,2.49,2.49
