Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Merluza en filete 1 kg aprox,17.5,17.5,pescaderia,Marisco y pescado,KILO,,Carrefour,outlier
"Parches térmicos terapéuticos para dolor de cuello, hombros y muñecas Thermacare 6 ud.",17.49,2.91,botiquin,Fitoterapia y parafarmacia,UNIDAD,,Carrefour,outlier
Crema de whisky Baileys salted caramel 70 cl.,17.49,24.99,licores y cremas,"Aceite, especias y salsas",LITRO,BAILEYS,Carrefour,outlier
Maquinilla ProGlide Power Gillette 1 ud.,17.49,17.49,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Rotuladores 20 ud Punta Fina STABILO Point 88 Zebrui,17.49,17.49,papeleria,papeleria,UNIDAD,,Carrefour,outlier
Leche infantil de crecimiento desde 12 meses en polvo Hero Baby Nutrasense Premium 3 lata 800 g.,17.49,21.86,alimentacion infantil,Bebé,KILO,HERO,Carrefour,outlier
Vodka Absolut Rasperri sabor fresa 70 cl.,17.49,24.99,alcoholes,Bodega,LITRO,,Carrefour,outlier
Leche infantil de continuación desde 6 meses en polvo Hero Baby Nutrasense Premium 2 lata 800 g.,17.49,21.86,alimentacion infantil,Bebé,KILO,HERO,Carrefour,outlier
Leche infantil de continuación 2 desde 6 meses en polvo Nutribén Continuación Pro-a sin aceite de palma lata 800 g.,17.49,21.86,bebe,"Aceite, especias y salsas",KILO,NUTRIBEN,Carrefour,outlier
"Cacao soluble instantáneo Cola Cao Turbo 2,5 kg.",17.45,6.98,desayuno,"Cacao, café e infusiones",KILO,COLA CAO,Carrefour,outlier
Spray protector solar acelerador del bronceado SPF 30 protección alta Tan & Protect Piz Buin 150 ml.,17.45,11.631,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Medallón de solomillo de vacuno 500 g aprox,17.45,34.9,carniceria,Carne,KILO,,Carrefour,outlier
Ginebra Gordon's 1 l.,17.39,17.39,alcoholes,Bodega,LITRO,,Carrefour,outlier
Tequila Jose Cuervo especial reposado 70 cl.,17.39,24.84,alcoholes,Bodega,LITRO,,Carrefour,outlier
Brandy de Jerez Magno solera reserva 1 l.,17.39,17.39,alcoholes,Bodega,LITRO,MAGNO REA,Carrefour,outlier
Leche Biológrica HiPP 2  600 gr,17.39,28.98,alimentacion infantil,Bebé,KILO,HIPP,Carrefour,outlier
Spray protector solar FP50+ Protege & Hidrata Nivea Sun 270 ml.,17.35,6.431,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Aguardiente Antioqueño 1 l.,17.29,17.29,licores y cremas,Bodega,LITRO,,Carrefour,outlier
"Cecina de vaca extra  IGP ""Cecina de León""  Ezequiel IGP ""Cecina de León"" taco de 300 g aprox",17.25,34.5,charcuteria,Charcutería y quesos,KILO,,Carrefour,outlier
Loción hidratante corporal Suavinex 750 ml.,17.19,2.291,bebe,Bebé,100 ML,,Carrefour,outlier
Gel dermo intenso lipoescultor nocturno Nocturslim E'lifexir 200 ml.,17.19,8.591,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Leche infantil de continuación desde 6 meses en polvo Nestlé Nativa 2 pack de 2 unidades de 600 g.,17.19,14.33,alimentacion infantil,Bebé,KILO,NATIVA,Carrefour,outlier
